100010	2015	51787	12631	1
100050	2018	29549	6287	1
100069	2011	8608	1913	1
100077	2018	3084	1285	1
100108	2017	14818	3528	1
100120	2011	4452	1113	1
100129	2013	21430	6303	1
100143	2011	5388	1253	1
100183	2018	154662	39657	1
100186	2017	54136	13881	1
100204	2016	11997	2608	1
100217	2020	5242	1165	1
100225	2016	41552	9033	1
100227	2017	4504	1287	1
100271	2016	5834	1326	1
100292	2016	4064	1016	1
100308	2020	9270	3090	1
100316	2019	12483	2774	1
10032	2019	7335	1789	1
100338	2017	37036	10893	1
100344	2020	46406	10792	1
10036	2016	27113	6162	1
100396	2014	38309	8328	1
100398	2018	4814	1094	1
100408	2020	61299	12510	1
100424	2018	19754	4203	1
100435	2020	24413	5702	2
100440	2013	17720	5063	1
100447	2015	17617	4097	1
100452	2020	291051	66148	2
100509	2017	237554	57940	1
10051	2011	214045	49778	1
100526	2014	7806	1697	1
100587	2020	17023	3474	2
100588	2017	121664	34761	1
100611	2021	29570	7582	1
100626	2020	7265	1772	1
100635	2020	8303	2516	1
100649	2018	438720	107005	1
100655	2017	16135	3667	1
100658	2016	171269	41773	1
100671	2018	8850	1924	1
100678	2012	5809	2003	1
100681	2015	1055852	257525	1
100684	2018	9786	3262	1
100687	2012	105930	24635	1
10070	2014	364313	84724	1
100705	2010	4298	1228	1
100709	2016	24669	5737	1
100714	2016	2058	1286	1
100794	2014	17038	6815	1
100806	2013	11570	3214	1
100853	2016	297637	70866	1
100863	2019	5557	1263	1
100864	2021	6378	1357	1
100876	2014	3993	1288	1
10089	2017	5838	1424	1
10089	2018	10306	2712	1
100894	2013	15098	3355	1
100939	2018	41864	9303	1
100945	2018	32345	7889	1
100952	2017	11449	2602	1
100981	2020	5061	1446	1
100998	2015	34672	7705	1
101006	2020	4064	1161	1
10101	2016	188323	43796	1
101014	2018	4910	1091	1
101036	2013	2915	1041	1
101047	2015	68748	15988	1
101052	2017	5673	1207	1
101091	2017	8444020	1796600	1
101092	2015	11983	5447	1
1011	2018	18224	4339	1
1011	2020	48532	11837	1
101141	2017	27132	7333	1
101154	2013	46083	10018	1
101168	2015	5157	1146	1
101194	2017	3507	1169	1
101216	2014	5331	1159	1
101231	2018	12012	2860	1
101241	2017	12034	5232	1
101242	2016	7085	2147	1
101250	2015	4586	1176	1
101257	2014	402316	98839	2
101264	2019	77047	16393	1
10127	2013	3078134	699576	1
10128	2014	43293	14431	1
101310	2012	18684	4152	1
101310	2013	52147	11704	2
101314	2019	13652	3413	1
101332	2017	28706	6379	1
10134	2019	19012	4045	1
10137	2010	14708	3677	1
101373	2014	6593	1939	1
101405	2020	9010	2435	1
101437	2018	5018	1115	1
101441	2017	20589	6863	1
101465	2017	76906	18311	1
101479	2020	88352	19207	1
101510	2014	5201	1182	1
101526	2013	41496	9880	1
101527	2015	281633	68691	1
101527	2016	6090	1384	1
101527	2018	384838	91628	1
101552	2021	134706	35449	1
10158	2016	6683	1630	1
10159	2017	3791	1223	1
101607	2014	7522	1791	1
101618	2020	24680	5251	1
101627	2013	94528	25548	1
101640	2012	9408	2240	1
101670	2011	5187	1402	1
101674	2017	32988	8247	1
101676	2010	538057	116969	1
101690	2012	38957	10529	1
101718	2020	10416	2604	1
101730	2017	31592	7180	1
101747	2016	7858	1871	1
101762	2014	97025	26223	1
101805	2018	6790	1741	1
101864	2013	266846	59299	1
101865	2016	115355	26217	1
101868	2017	14382	3887	1
101885	2017	11238	2554	1
101904	2017	4408	1160	1
101908	2014	1264351	274859	1
101912	2019	15252	3245	1
101917	2016	169755	43527	1
101936	2020	13420	3121	1
101964	2012	16718	3715	1
10197	2017	23058	5124	1
101989	2016	26446	6781	1
101990	2019	50844	13380	1
102020	2016	22646	4923	1
102071	2012	6538	1391	1
10208	2020	4797	1066	1
10209	2020	4544	1136	1
1021	2017	1880370	408776	1
1021	2018	8494008	1869204	7
1021	2019	262680	57143	2
102102	2019	14763	3515	1
10211	2019	113436	24660	1
102114	2020	15112	3778	1
102119	2018	15914	3386	1
102126	2014	4667	2029	1
102158	2020	45715	11150	1
102167	2020	4313	1003	1
10219	2015	5080	1494	1
1022	2014	35752	7945	1
10220	2019	4999	2083	1
102200	2012	96539	25874	2
102221	2018	26968	6742	1
102235	2020	81814	18181	1
102247	2020	5796	1380	1
102248	2014	10116	2810	1
102254	2019	4732	1434	1
102270	2016	27878	6336	1
102276	2011	181892	44364	1
102328	2015	56240	12226	1
102343	2019	6577	1827	1
102355	2017	402380	95491	2
102358	2018	14246	5088	1
102374	2012	135968	33163	1
102385	2012	7176	2563	1
102402	2018	139115	29599	1
102436	2019	31419	6982	1
102452	2017	14684	4079	1
102458	2016	59709	15310	1
102485	2010	38876	9041	1
102534	2014	25619	8006	1
102538	2018	6472	1541	1
10254	2015	49162	11433	1
102544	2012	35958	9220	1
102565	2012	89194	19390	1
102618	2015	112505	26787	1
102621	2020	10184	3772	1
102652	2016	5361	1094	1
102668	2020	4882	1436	1
102678	2012	75498	19868	1
102687	2019	21623	5844	1
10270	2013	48262	14625	1
102716	2018	33016	8254	1
102719	2014	8114	1764	1
102728	2015	312052	63684	1
10273	2016	6512	1480	1
102738	2011	8550	2375	1
102762	2015	9283	2509	1
102764	2011	10815	2773	1
102771	2018	24129	5362	1
102792	2020	21386	5216	1
